Project,now,before,Difference
Chart1,2,1,-1
Chart2,2,26,24
Chart3,3,2,-1
Chart4,6,137,131
Chart5,2,9,7
Chart6,78,99,21
Chart7,32,26,-6
Chart8,8,5,-3
Chart9,11,11,0
Chart10,1,1,0
Chart11,2,1,-1
Chart12,272,243,-29
Chart13,4,2,-2
Chart14,5,2,-3
Chart15,1,4,3
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,6,2,-4
Chart20,32,57,25
Chart21,3,5,2
Chart22,1,2,1
Chart24,1,2,1
Chart25,149,729,580
Chart26,1167,1533,366
Closure1,718,867,149
Closure2,317,367,50
Closure3,385,260,-125
Closure4,1101,1099,-2
Closure5,570,647,77
Closure6,1307,1205,-102
Closure7,229,503,274
Closure8,169,168,-1
Closure9,1,1,0
Closure10,13,30,17
Closure11,729,893,164
Closure12,160,550,390
Closure13,1377,1576,199
Closure14,1,1,0
Closure15,910,955,45
Closure16,775,763,-12
Closure17,2,1,-1
Closure18,3,41,38
Closure19,297,848,551
Closure20,1214,1129,-85
Closure21,478,478,0
Closure22,577,503,-74
Closure23,69,65,-4
Closure24,282,422,140
Closure25,6,26,20
Closure26,1289,1588,299
Closure27,5,5,0
Closure29,1039,1323,284
Closure30,261,484,223
Closure31,3,41,38
Closure32,1,1,0
Closure33,1354,1305,-49
Closure34,17,2,-15
Closure35,145,144,-1
Closure36,1846,1657,-189
Closure37,703,783,80
Closure38,7,22,15
Closure39,112,102,-10
Closure40,474,408,-66
Closure41,219,189,-30
Closure42,98,140,42
Closure43,348,617,269
Closure44,73,63,-10
Closure45,280,471,191
Closure46,2,3,1
Closure47,1052,1065,13
Closure48,1,1,0
Closure49,550,560,10
Closure50,15,48,33
Closure51,1,1,0
Closure52,33,47,14
Closure53,150,181,31
Closure54,14,29,15
Closure55,880,963,83
Closure56,1,15,14
Closure57,54,9,-45
Closure58,74,380,306
Closure59,475,1100,625
Closure60,1214,1537,323
Closure61,2,73,71
Closure62,27,45,18
Closure63,32,57,25
Closure64,17,76,59
Closure65,31,22,-9
Closure66,142,140,-2
Closure67,1,1,0
Closure68,14,13,-1
Closure69,47,111,64
Closure70,1,1,0
Closure71,234,372,138
Closure72,1142,1142,0
Closure73,1,1,0
Closure74,76,39,-37
Closure75,121,191,70
Closure76,22,89,67
Closure77,42,17,-25
Closure78,599,597,-2
Closure79,804,963,159
Closure80,14,141,127
Closure81,6,8,2
Closure82,515,515,0
Closure83,1,1,0
Closure84,3,9,6
Closure85,169,168,-1
Closure86,2,1,-1
Closure87,55,147,92
Closure88,362,525,163
Closure89,2,1,-1
Closure90,266,440,174
Closure91,741,806,65
Closure92,3,89,86
Closure93,1,74,73
Closure94,894,857,-37
Closure95,215,214,-1
Closure96,3,7,4
Closure97,712,710,-2
Closure98,15,119,104
Closure99,232,281,49
Closure100,246,747,501
Closure101,334,674,340
Closure102,995,1276,281
Closure103,14,85,71
Closure104,32,115,83
Closure105,19,12,-7
Closure106,558,561,3
Closure107,610,601,-9
Closure108,200,277,77
Closure109,2,17,15
Closure110,294,287,-7
Closure111,668,746,78
Closure112,517,506,-11
Closure113,539,676,137
Closure114,382,343,-39
Closure115,142,209,67
Closure116,17,49,32
Closure117,7,6,-1
Closure118,1044,1126,82
Closure119,536,522,-14
Closure120,129,187,58
Closure121,910,907,-3
Closure122,308,380,72
Closure123,277,372,95
Closure124,302,417,115
Closure125,11,4,-7
Closure126,947,941,-6
Closure127,145,114,-31
Closure128,4,1,-3
Closure129,662,1560,898
Closure130,1073,1271,198
Closure131,916,1069,153
Closure132,728,972,244
Closure133,47,38,-9
Lang1,1,2,1
Lang2,20,18,-2
Lang3,3,2,-1
Lang4,3,2,-1
Lang5,1,1,0
Lang6,11,16,5
Lang7,4,6,2
Lang8,1,2,1
Lang9,42,31,-11
Lang10,43,35,-8
Lang11,7,6,-1
Lang12,2,2,0
Lang13,2,1,-1
Lang14,1,1,0
Lang15,1,1,0
Lang16,31,22,-9
Lang17,6,5,-1
Lang18,32,91,59
Lang19,2,2,0
Lang20,1,1,0
Lang21,1,1,0
Lang22,1,1,0
Lang24,21,40,19
Lang26,2,5,3
Lang27,1,1,0
Lang28,1,1,0
Lang30,4,8,4
Lang31,2,1,-1
Lang32,2,4,2
Lang33,1,1,0
Lang34,2,1,-1
Lang35,2,7,5
Lang37,1,3,2
Lang38,6,9,3
Lang39,5,5,0
Lang40,1,1,0
Lang41,2,6,4
Lang43,7,6,-1
Lang44,4,7,3
Lang45,17,11,-6
Lang46,1,1,0
Lang47,5,3,-2
Lang48,1,1,0
Lang49,2,4,2
Lang50,21,20,-1
Lang53,20,37,17
Lang54,2,2,0
Lang55,1,1,0
Lang57,1,1,0
Lang58,1,2,1
Lang59,2,2,0
Lang60,4,3,-1
Lang61,22,34,12
Lang63,1,1,0
Lang64,1,1,0
Lang65,8,11,3
Math1,45,177,132
Math2,11,11,0
Math3,8,13,5
Math4,7,52,45
Math5,6,4,-2
Math6,583,650,67
Math7,1,26,25
Math8,1,1,0
Math9,6,4,-2
Math10,38,29,-9
Math12,343,343,0
Math13,41,51,10
Math14,52,52,0
Math15,9,10,1
Math16,2,5,3
Math17,8,93,85
Math18,71,35,-36
Math19,2,16,14
Math20,143,421,278
Math21,34,36,2
Math22,1,4,3
Math23,6,30,24
Math24,26,35,9
Math25,1,1,0
Math26,29,155,126
Math27,1,1,0
Math28,66,104,38
Math29,1,7,6
