Project,now,before,Difference
Chart1,46,42,-4
Chart2,7,92,85
Chart3,2,3,1
Chart4,240,660,420
Chart5,1,8,7
Chart6,98,104,6
Chart7,52,81,29
Chart8,8,1,-7
Chart9,7,14,7
Chart10,2,3,1
Chart11,4,5,1
Chart12,35,13,-22
Chart13,43,47,4
Chart14,21,6,-15
Chart15,1,29,28
Chart16,1,2,1
Chart17,1,2,1
Chart18,1,3,2
Chart19,4,1,-3
Chart20,6,5,-1
Chart21,4,3,-1
Chart22,2,22,20
Chart24,1,3,2
Chart25,3,154,151
Chart26,33,666,633
Closure1,731,870,139
Closure2,30,37,7
Closure3,324,279,-45
Closure4,8,192,184
Closure5,128,154,26
Closure6,10,1,-9
Closure7,24,2,-22
Closure8,131,123,-8
Closure9,2,1,-1
Closure10,85,215,130
Closure11,816,1147,331
Closure12,976,1081,105
Closure13,5642,5651,9
Closure14,7,5,-2
Closure15,89,185,96
Closure16,131,208,77
Closure17,66,76,10
Closure18,1608,2060,452
Closure19,8,1,-7
Closure20,33,2,-31
Closure21,15,3,-12
Closure22,7,1,-6
Closure23,30,8,-22
Closure24,1,1,0
Closure25,122,107,-15
Closure26,42,16,-26
Closure27,6,1,-5
Closure29,457,536,79
Closure30,236,242,6
Closure31,1356,1664,308
Closure32,75,43,-32
Closure33,532,510,-22
Closure34,242,230,-12
Closure35,42,6,-36
Closure36,1408,1062,-346
Closure37,970,1226,256
Closure38,333,345,12
Closure39,33,19,-14
Closure40,120,120,0
Closure41,813,695,-118
Closure42,1,1,0
Closure43,346,506,160
Closure44,1115,778,-337
Closure45,251,280,29
Closure46,6,13,7
Closure47,9,160,151
Closure48,343,389,46
Closure49,1599,1734,135
Closure50,100,94,-6
Closure51,316,326,10
Closure52,73,116,43
Closure53,45,47,2
Closure54,38,56,18
Closure55,309,329,20
Closure56,2,65,63
Closure57,52,25,-27
Closure58,1,7,6
Closure59,5178,6782,1604
Closure60,210,21,-189
Closure61,6,143,137
Closure62,1,4,3
Closure63,1,4,3
Closure64,323,1484,1161
Closure65,27,1,-26
Closure66,2754,2743,-11
Closure67,204,308,104
Closure68,7,3,-4
Closure69,922,1006,84
Closure70,1820,2011,191
Closure71,59,250,191
Closure72,235,241,6
Closure73,294,305,11
Closure74,75,178,103
Closure75,16,1,-15
Closure76,75,112,37
Closure77,323,306,-17
Closure78,20,1,-19
Closure79,17,57,40
Closure80,13,10,-3
Closure81,159,173,14
Closure82,1501,1092,-409
Closure83,10,10,0
Closure84,176,195,19
Closure85,106,172,66
Closure86,165,21,-144
Closure87,137,150,13
Closure88,201,196,-5
Closure89,128,154,26
Closure90,19,46,27
Closure91,367,284,-83
Closure92,5,85,80
Closure93,5,85,80
Closure94,76,5,-71
Closure95,1921,1764,-157
Closure96,231,246,15
Closure97,27,1,-26
Closure98,384,425,41
Closure99,18,16,-2
Closure100,1,6,5
Closure101,1479,2775,1296
Closure102,4659,4752,93
Closure103,151,289,138
Closure104,41,13,-28
Closure105,78,7,-71
Closure106,5,24,19
Closure107,165,132,-33
Closure108,194,237,43
Closure109,1,33,32
Closure110,52,2,-50
Closure111,2,1,-1
Closure112,51,109,58
Closure113,19,17,-2
Closure114,228,215,-13
Closure115,38,8,-30
Closure116,7,42,35
Closure117,227,225,-2
Closure118,97,2,-95
Closure120,195,239,44
Closure121,341,388,47
Closure122,2,9,7
