Project,now,before,Difference
Chart1,51,42,-9
Chart2,36,51,15
Chart3,6,12,6
Chart4,61,241,180
Chart5,4,8,4
Chart6,25,29,4
Chart7,-1,86,-1
Chart8,14,15,1
Chart9,9,10,1
Chart10,1,1,0
Chart11,1,5,4
Chart12,-1,97,-1
Chart13,20,21,1
Chart14,13,8,-5
Chart15,7,16,9
Chart16,5,5,0
Chart17,5,5,0
Chart18,3,5,2
Chart19,1,1,0
Chart20,14,11,-3
Chart21,1,1,0
Chart22,3,5,2
Chart24,2,4,2
Chart25,1,3,2
Chart26,-1,669,-1
Closure1,86,123,37
Closure2,7,10,3
Closure3,-1,1504,-1
Closure4,-1,4943,-1
Closure5,56,58,2
Closure6,6,6,0
Closure7,12,12,0
Closure8,-1,2441,-1
Closure9,1,1,0
Closure10,-1,1685,-1
Closure11,-1,1827,-1
Closure12,-1,1888,-1
Closure13,-1,5541,-1
Closure14,12,38,26
Closure15,50,61,11
Closure16,179,169,-10
Closure17,11,10,-1
Closure18,-1,1920,-1
Closure19,2,6,4
Closure20,-1,2245,-1
Closure21,6,7,1
Closure22,1,1,0
Closure23,66,67,1
Closure24,2,3,1
Closure25,-1,2694,-1
Closure26,35,24,-11
Closure27,1,1,0
Closure29,-1,2938,-1
Closure30,-1,1695,-1
Closure31,-1,713,-1
Closure32,95,50,-45
Closure33,-1,2317,-1
Closure34,42,28,-14
Closure35,57,26,-31
Closure36,-1,5948,-1
Closure37,-1,716,-1
Closure38,-1,147,-1
Closure39,10,4,-6
Closure40,-1,3814,-1
Closure41,-1,4104,-1
Closure42,6,11,5
Closure43,-1,2729,-1
Closure44,-1,884,-1
Closure45,-1,1681,-1
Closure46,2,2,0
Closure47,-1,243,-1
Closure48,71,178,107
Closure49,102,99,-3
Closure50,51,64,13
Closure51,19,17,-2
Closure52,8,7,-1
Closure53,-1,3126,-1
Closure54,57,71,14
Closure55,-1,1195,-1
Closure56,1,1,0
Closure57,4,4,0
Closure58,6,14,8
Closure59,-1,3588,-1
Closure60,2,2,0
Closure61,-1,1118,-1
Closure62,1,1,0
Closure63,1,1,0
Closure64,-1,1345,-1
Closure65,1,1,0
Closure66,-1,2785,-1
Closure67,-1,2399,-1
Closure68,7,7,0
Closure69,106,189,83
Closure70,-1,597,-1
Closure71,-1,3280,-1
Closure72,-1,1608,-1
Closure73,10,9,-1
Closure74,18,37,19
Closure75,1,1,0
Closure76,24,48,24
Closure77,60,36,-24
Closure78,6,3,-3
Closure79,10,16,6
Closure80,3,7,4
Closure81,3,4,1
Closure82,-1,258,-1
Closure83,-1,74,-1
Closure84,8,9,1
Closure85,51,66,15
Closure86,21,13,-8
Closure87,-1,788,-1
Closure88,53,55,2
Closure89,41,55,14
Closure90,-1,582,-1
Closure91,-1,1939,-1
Closure92,-1,2107,-1
Closure93,-1,2157,-1
Closure94,6,4,-2
Closure95,-1,2135,-1
Closure96,36,37,1
Closure97,38,35,-3
Closure98,-1,752,-1
Closure99,71,66,-5
Closure100,7,38,31
Closure101,-1,3976,-1
Closure102,-1,3147,-1
Closure103,12,20,8
Closure104,13,9,-4
Closure105,59,42,-17
Closure106,16,27,11
Closure107,58,69,11
Closure108,45,53,8
Closure109,2,5,3
Closure110,47,35,-12
Closure111,2,4,2
Closure112,50,65,15
Closure113,10,8,-2
Closure114,118,90,-28
Closure115,19,7,-12
Closure116,7,46,39
Closure117,139,153,14
Closure118,-1,5618,-1
Closure120,-1,2243,-1
Closure121,76,90,14
Closure122,3,3,0
Closure123,48,98,50
Closure124,11,18,7
Closure125,112,95,-17
Closure126,-1,2582,-1
Closure127,-1,2062,-1
Closure128,3,2,-1
Closure129,-1,6780,-1
Closure130,-1,3664,-1
Closure131,39,84,45
Closure132,-1,1938,-1
Closure133,-1,1322,-1
Lang1,3,3,0
Lang2,8,18,10
Lang3,7,5,-2
Lang4,-1,5,-1
Lang5,1,1,0
Lang6,68,72,4
Lang7,3,23,20
Lang8,9,11,2
Lang9,53,62,9
Lang10,48,34,-14
Lang11,1,1,0
Lang12,2,6,4
Lang13,3,4,1
Lang14,1,1,0
Lang15,-1,249,-1
Lang16,9,8,-1
Lang17,9,19,10
Lang18,16,46,30
Lang19,7,9,2
Lang20,2,4,2
Lang21,1,1,0
Lang22,31,27,-4
Lang24,-1,153,-1
Lang26,4,12,8
Lang27,28,27,-1
Lang28,1,1,0
Lang30,2,2,0
Lang31,5,5,0
Lang32,4,4,0
Lang33,-1,692,-1
Lang34,85,74,-11
Lang35,1,1,0
Lang36,-1,91,-1
Lang37,2,4,2
Lang38,1,1,0
Lang39,28,38,10
Lang40,1,2,1
Lang41,5,6,1
Lang42,6,3,-3
Lang43,8,6,-2
Lang44,4,5,1
Lang45,2,1,-1
Lang46,1,1,0
Lang47,-1,23,-1
Lang48,2,2,0
Lang49,2,2,0
Lang50,16,12,-4
Lang53,-1,123,-1
Lang54,1,1,0
Lang55,8,9,1
Lang57,1,1,0
Lang58,18,27,9
Lang59,1,1,0
Lang60,5,6,1
Lang61,17,27,10
Lang62,6,6,0
Lang63,1,2,1
Lang64,1,1,0
Lang65,5,6,1
Math1,7,6,-1
Math2,-1,71,-1
Math3,4,7,3
Math4,2,2,0
Math5,2,2,0
Math6,239,285,46
Math7,55,46,-9
Math8,2,3,1
Math9,2,3,1
Math10,21,11,-10
Math11,-1,60,-1
Math13,-1,188,-1
Math14,38,43,5
Math15,4,2,-2
Math16,5,4,-1
Math17,-1,508,-1
Math18,5,3,-2
Math19,21,18,-3
Math20,-1,453,-1
Math21,4,6,2
Math22,1,1,0
Math23,13,41,28
Math24,48,71,23
Math25,1,2,1
Math26,33,24,-9
Math27,2,2,0
Math28,7,22,15
Math29,3,3,0
Math30,18,24,6
Math31,14,81,67
Math32,10,64,54
Math33,63,51,-12
Math34,1,1,0
Math35,4,6,2
Math36,1,1,0
Math37,1,1,0
Math38,2,2,0
Math39,-1,462,-1
Math40,-1,131,-1
Math41,18,14,-4
Math42,-1,331,-1
Math43,64,96,32
Math44,9,13,4
Math45,1,1,0
Math46,1,1,0
Math47,2,1,-1
Math48,-1,687,-1
Math49,6,5,-1
Math50,1,1,0
Math51,9,29,20
Math52,11,9,-2
Math53,1,2,1
Math54,12,11,-1
Math55,1,1,0
Math56,5,5,0
Math57,4,8,4
Math58,-1,128,-1
Math59,2,1,-1
Math60,11,17,6
Math61,-1,590,-1
Math62,-1,325,-1
Math63,1,1,0
Math64,-1,105,-1
Math65,66,70,4
Math66,-1,162,-1
Math67,-1,173,-1
Math68,-1,83,-1
Math69,-1,64,-1
Math70,2,1,-1
Math71,1,2,1
Math72,7,8,1
Math73,12,12,0
Math74,-1,984,-1
Math75,1,1,0
Math76,67,60,-7
Math77,8,19,11
Math78,7,46,39
Math79,14,12,-2
Math80,47,69,22
Math81,31,46,15
Math82,-1,214,-1
Math83,43,69,26
Math84,28,13,-15
Math85,-1,111,-1
Math86,40,40,0
Math87,18,35,17
Math88,1,1,0
Math89,1,1,0
Math90,-1,5,-1
Math91,1,1,0
Math92,1,1,0
Math93,1,2,1
Math94,9,11,2
Math95,7,8,1
Math96,5,6,1
Math97,1,1,0
Math98,2,3,1
Math99,5,5,0
Math100,5,5,0
Math101,24,15,-9
Math102,1,1,0
Math103,27,30,3
Math105,-1,25,-1
Math106,12,8,-4
Mockito1,1,1,0
Mockito2,23,16,-7
Mockito3,3,3,0
Mockito4,-1,2100,-1
Mockito5,-1,2915,-1
Mockito6,2,2,0
Mockito7,25,36,11
Mockito8,-1,37,-1
Mockito9,-1,938,-1
Mockito10,6,9,3
Mockito11,1,1,0
Mockito12,20,39,19
Mockito13,51,83,32
Mockito14,-1,509,-1
Mockito15,-1,174,-1
Mockito16,1,4,3
Mockito17,1,2,1
Mockito18,31,26,-5
Mockito19,-1,493,-1
Mockito20,221,217,-4
Mockito21,2,2,0
Mockito22,11,9,-2
Mockito23,-1,272,-1
Mockito24,1,1,0
Mockito25,46,58,12
Mockito26,38,41,3
Mockito27,3,3,0
Mockito28,-1,470,-1
Mockito29,-1,829,-1
Mockito30,8,6,-2
Mockito31,1,1,0
Mockito32,-1,424,-1
Mockito33,62,84,22
Mockito34,60,42,-18
Mockito35,9,9,0
Mockito36,-1,1857,-1
Mockito37,21,10,-11
Mockito38,-1,899,-1
Time1,3,4,1
Time2,6,6,0
Time3,1,1,0
Time4,17,16,-1
Time5,3,2,-1
Time6,2,5,3
Time7,40,49,9
Time8,9,10,1
Time9,3,5,2
Time10,-1,499,-1
Time11,-1,358,-1
Time12,19,21,2
Time13,15,13,-2
Time14,2,8,6
Time15,1,1,0
Time16,1,1,0
Time17,1,1,0
Time18,13,11,-2
Time19,-1,254,-1
Time20,6,6,0
Time21,2,2,0
Time22,12,11,-1
Time23,2,1,-1
Time24,133,157,24
Time25,131,109,-22
Time26,107,80,-27
Time27,-1,1271,-1
